0.18,0.19,0.24,0.32,0.51,0.86,1.47,2.14,2.73,3.21,3.51
0.15,0.15,0.16,0.18,0.25,0.49,1.3,2.18,2.98,3.51,3.84
0.11,0.1,0.1,0.11,0.11,0.11,1.2,2.36,3.36,4.15,4.43
0.12,0.09,0.12,0.17,0.29,0.62,1.39,2.52,3.94,5.1,5.19
0.14,0.09,0.13,0.16,0.26,0.54,1.39,2.49,3.92,5.05,5.09
0.15,0.14,0.13,0.14,0.14,0.14,1.25,2.32,3.32,4.11,4.38
0.18,0.18,0.21,0.24,0.33,0.61,1.36,2.22,2.94,3.51,3.86
0.21,0.23,0.27,0.36,0.54,0.92,1.49,2.18,2.78,3.23,3.59
0.23,0.26,0.31,0.42,0.63,0.99,1.52,2.23,2.71,3.14,3.46
